12730	6315
12748	5964
10217	14653
1784	3081
15482	5412
14432	13407
3160	5554
10707	8913
3751	4168
4874	7131
8630	1019
3155	2148
13326	13654
3572	313
13900	8967
8523	879
61	11694
7161	6235
3518	2075
243	1054
10217	9443
61	14713
10707	10694
11484	576
12850	7560
13914	15976
2643	7829
16019	3923
11060	10661
16091	11980
12795	3711
11869	5772
15156	7087
10991	6295
13486	10258
4677	7829
8696	11938
2622	13119
11484	5964
12421	1567
1503	7232
10419	11751
2442	14202
13914	10519
616	6730
16076	14381
788	13654
10891	12623
7664	5741
10991	3795
1791	7587
7388	2770
7345	4677
13326	7833
13326	7750
4874	12201
8879	13654
9889	3531
493	4513
1246	5741
8928	12004
14185	9986
16188	6266
10991	857
3155	5547
4263	61
243	10863
15415	5741
61	14714
14053	10599
243	9422
2199	15761
13914	6477
13914	878
3155	14922
621	15436
243	12658
9378	8007
8630	5842
13245	873
14585	3536
13486	862
1192	9604
12696	630
12748	11785
13171	7794
4928	5964
7388	5238
10893	11952
12991	6493
12143	6304
14444	12837
10839	9502
7345	14648
7781	1999
5211	16094
4964	3994
8656	13541
10154	7335
6322	3929
9653	14429
11894	11460
9187	13236
4928	10168
8007	5289
10891	14587
791	1859
1202	6622
8523	3803
15415	3705
10608	7747
12842	5964
10154	4969
9998	15013
13731	14279
37	1859
3155	5964
5920	8690
8279	9334
8879	11257
6280	13086
14185	11754
10111	15594
3962	7005
13486	13583
11470	10608
4286	6622
3155	13894
15487	1959
9974	15511
1537	4067
3592	13900
6846	15436
4096	15013
12073	15927
7023	10322
11340	4234
3155	7488
6482	1054
5211	10659
2622	739
1444	2295
2942	4176
10267	14431
8630	885
8690	15288
6482	9443
13914	10679
2579	13520
3962	14123
2161	6730
616	7269
9889	16061
10409	13118
9	16076
15487	6622
5785	1444
4242	4140
12593	13112
12991	6337
4286	6322
7664	11576
6482	2660
15979	8794
2211	13410
2211	13407
5569	7884
6870	15813
5443	6129
15487	11257
788	15885
11484	621
12038	739
62	13137
10966	11722
788	8366
788	7987
15487	2925
12	15
7580	11177
16076	14533
16248	6730
12928	15013
13391	7131
8007	13104
3155	2454
5165	5138
10461	4327
6322	6025
3962	15479
1503	1686
7829	14763
4746	8048
12734	5230
16188	1482
10498	16107
5121	1680
2483	2622
7345	4142
10395	866
5165	630
12311	7097
12540	13418
56	2117
8133	12542
11470	8007
13065	10647
9378	14559
7054	16076
4677	5305
1086	11852
7119	6570
4921	3821
243	7476
10991	169
7829	12919
10991	10953
13731	12334
616	2741
12748	493
9659	3155
1738	2424
3155	6482
1052	12935
10402	13921
11894	1536
2942	7322
13731	5920
9373	13845
2942	4416
6322	1191
6948	1926
2961	5964
2961	873
13402	1808
1444	15515
16248	653
14381	4051
10154	2562
4125	15184
13914	9667
10461	812
14185	9624
8133	15395
2242	2000
6322	14037
7161	9651
5342	1450
5920	15263
4096	6754
10395	12112
9889	6482
15663	37
10707	1054
13171	512
14343	16076
44	11053
13914	6315
13900	12951
3699	7436
16188	9872
14444	3155
3361	4067
8879	16190
3155	15873
1	9640
7509	6011
44	8239
11470	6968
12635	13860
1192	5822
1192	7826
4928	12853
5273	14426
11894	5828
2942	4377
9072	12544
10893	11695
11848	3472
10461	6066
13486	16061
4874	8690
13731	15288
850	5874
12143	2849
6998	12249
7413	13055
5569	6310
13914	4331
13146	1145
16248	7570
9479	5143
4286	12278
13914	2551
9055	11312
13065	6321
6482	4745
16248	13226
14950	11089
16202	13157
11550	5964
6095	4880
12540	2387
11641	11177
13446	7161
8826	10217
11894	10710
243	8743
5569	3415
3686	3860
5165	3921
739	12795
13900	10947
11869	15322
44	268
1503	5734
2539	703
3107	10402
1414	11885
1545	782
2140	9382
13326	10931
6322	496
13894	3821
11894	9023
11869	838
176	4137
10543	11075
6516	630
14201	1474
15886	13493
4599	7131
6730	12390
15482	15485
889	14426
11894	12004
493	15942
3155	11818
14185	12179
8133	8316
9889	6319
6562	2944
797	12295
5964	7807
14391	13244
3592	5842
488	3415
7345	6715
9840	12111
14535	2962
4185	15139
10498	5656
7161	3826
729	2052
12038	10966
7023	3821
4499	2461
6730	15520
4700	13277
10498	3519
11177	6882
12842	14249
7318	6610
14444	13894
621	7087
7388	14073
4263	1054
10395	2477
10768	4325
8690	14335
14700	6304
8007	2944
15415	9003
10893	724
7388	13140
6322	14853
243	12413
7580	13731
4255	8873
6430	1850
10498	10850
5443	4347
488	11707
3446	5601
3446	2514
13486	11807
13402	8094
10464	8933
48	8856
3962	4118
10498	9001
11470	5210
10991	2454
1252	2512
9846	7322
3592	13359
5284	12504
2242	12932
9138	5964
13486	10369
13900	5903
12038	8108
6730	7081
10991	5491
11484	226
7318	12285
7509	1217
4700	340
8059	9462
13036	957
6322	15790
14873	1444
14248	9443
14535	10761
14700	4695
3155	4193
13065	5848
8690	9235
3365	2944
6562	12184
10395	2328
10461	2358
11869	14537
9244	7259
2270	14860
2027	2504
12540	5964
5284	15665
7476	9110
10395	2944
6322	3886
13894	6092
8879	2585
5920	5360
9846	1680
9192	14106
5964	12423
2270	7829
15487	2804
13486	13662
